MIDAS ID, Legacy MIDAS ID, Site Name
452ACB1C0210454F9D0780DA73C6E79E,30028793,MIDAS site at M32/5060B priority 1 on link 200044286; GPS Ref: 362986;177624; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2019-06-01,00:14:00,11,128,103,13,4,8,103.82,15,200044286,10
2019-06-01,00:29:00,11,116,90,14,6,6,102.26,15,200044286,10
2019-06-01,00:44:00,11,122,92,16,2,12,101.93,15,200044286,10
2019-06-01,00:59:00,11,94,75,9,2,8,101.46,15,200044286,10
2019-06-01,01:14:00,5,85,66,7,5,7,104.00,15,200044286,10
2019-06-01,01:29:00,5,78,57,9,7,5,99.39,15,200044286,10
2019-06-01,01:44:00,5,78,59,11,4,4,102.92,15,200044286,10
2019-06-01,01:59:00,5,66,57,4,4,1,99.11,15,200044286,10
2019-06-01,02:14:00,5,54,31,11,4,8,98.36,15,200044286,10
2019-06-01,02:29:00,5,58,45,3,5,5,97.25,15,200044286,10
2019-06-01,02:44:00,5,43,25,8,4,6,98.09,15,200044286,10
2019-06-01,02:59:00,5,47,34,7,2,4,102.01,15,200044286,10
2019-06-01,03:14:00,5,59,38,9,4,8,99.98,15,200044286,10
2019-06-01,03:29:00,5,57,39,8,2,8,101.39,15,200044286,10
2019-06-01,03:44:00,5,70,47,11,5,7,102.08,15,200044286,10
2019-06-01,03:59:00,5,47,36,7,0,4,100.31,15,200044286,10
2019-06-01,04:14:00,5,58,39,11,5,3,103.94,15,200044286,10
2019-06-01,04:29:00,5,75,52,10,7,6,100.48,15,200044286,10
2019-06-01,04:44:00,5,92,61,12,9,10,99.27,15,200044286,10
2019-06-01,04:59:00,5,87,58,10,7,12,102.83,15,200044286,10
2019-06-01,05:14:00,5,84,55,17,5,7,106.13,15,200044286,10
2019-06-01,05:29:00,5,70,36,15,9,10,103.34,15,200044286,10
2019-06-01,05:44:00,5,86,58,10,9,9,103.85,15,200044286,10
2019-06-01,05:59:00,5,104,60,16,13,15,104.03,15,200044286,10
2019-06-01,06:14:00,5,110,82,14,9,5,108.17,15,200044286,10
2019-06-01,06:29:00,5,144,96,17,17,14,102.50,15,200044286,10
2019-06-01,06:44:00,5,153,106,28,10,9,105.76,15,200044286,10
2019-06-01,06:59:00,5,202,120,51,19,12,105.28,15,200044286,10
2019-06-01,07:14:00,5,171,116,41,8,6,107.43,15,200044286,10
2019-06-01,07:29:00,5,234,158,46,23,7,103.90,15,200044286,10
2019-06-01,07:44:00,5,282,206,50,20,6,106.33,15,200044286,10
2019-06-01,07:59:00,5,333,241,60,25,7,106.39,15,200044286,10
2019-06-01,08:14:00,5,318,237,50,23,8,105.60,15,200044286,10
2019-06-01,08:29:00,5,394,302,63,20,9,104.06,15,200044286,10
2019-06-01,08:44:00,5,422,340,58,16,8,103.83,15,200044286,10
2019-06-01,08:59:00,5,433,366,50,13,4,105.58,15,200044286,10
2019-06-01,09:14:00,5,423,348,44,26,5,101.71,15,200044286,10
2019-06-01,09:29:00,5,515,433,56,22,4,101.48,15,200044286,10
2019-06-01,09:44:00,5,602,507,67,15,13,100.70,15,200044286,10
2019-06-01,09:59:00,5,571,475,65,17,14,102.13,15,200044286,10
2019-06-01,10:14:00,5,590,486,83,16,5,102.63,15,200044286,10
2019-06-01,10:29:00,5,643,556,63,15,9,98.12,15,200044286,10
2019-06-01,10:44:00,5,633,531,69,28,5,100.86,15,200044286,10
2019-06-01,10:59:00,5,654,547,79,16,12,101.32,15,200044286,10
2019-06-01,11:14:00,5,614,518,64,23,9,100.24,15,200044286,10
2019-06-01,11:29:00,5,661,564,74,13,10,100.07,15,200044286,10
2019-06-01,11:44:00,5,696,589,84,13,10,99.35,15,200044286,10
2019-06-01,11:59:00,5,706,603,80,16,7,99.28,15,200044286,10
2019-06-01,12:14:00,5,723,617,81,17,8,98.44,15,200044286,10
2019-06-01,12:29:00,5,714,598,91,18,7,99.25,15,200044286,10
2019-06-01,12:44:00,5,691,597,62,24,8,97.36,15,200044286,10
2019-06-01,12:59:00,5,709,612,68,15,14,99.64,15,200044286,10
2019-06-01,13:14:00,5,667,546,93,22,6,99.59,15,200044286,10
2019-06-01,13:29:00,5,606,532,58,10,6,101.12,15,200044286,10
2019-06-01,13:44:00,5,607,514,67,16,10,100.99,15,200044286,10
2019-06-01,13:59:00,5,541,473,56,9,3,102.22,15,200044286,10
2019-06-01,14:14:00,5,594,499,74,11,10,102.14,15,200044286,10
2019-06-01,14:29:00,5,548,465,60,16,7,100.96,15,200044286,10
2019-06-01,14:44:00,5,540,465,62,6,7,100.50,15,200044286,10
2019-06-01,14:59:00,5,514,436,54,16,8,102.37,15,200044286,10
2019-06-01,15:14:00,5,518,444,58,9,7,102.60,15,200044286,10
2019-06-01,15:29:00,5,498,419,61,10,8,103.45,15,200044286,10
2019-06-01,15:44:00,5,486,417,55,8,6,103.68,15,200044286,10
2019-06-01,15:59:00,5,471,387,60,20,4,104.60,15,200044286,10
2019-06-01,16:14:00,5,533,451,69,8,5,104.18,15,200044286,10
2019-06-01,16:29:00,5,538,445,76,11,6,104.15,15,200044286,10
2019-06-01,16:44:00,5,479,412,53,6,8,103.31,15,200044286,10
2019-06-01,16:59:00,5,576,507,57,7,5,102.80,15,200044286,10
2019-06-01,17:14:00,5,502,433,52,9,8,104.88,15,200044286,10
2019-06-01,17:29:00,5,566,481,60,15,10,102.37,15,200044286,10
2019-06-01,17:44:00,5,530,460,58,5,7,102.59,15,200044286,10
2019-06-01,17:59:00,5,525,451,60,7,7,104.50,15,200044286,10
2019-06-01,18:14:00,5,522,450,53,8,11,101.87,15,200044286,10
2019-06-01,18:29:00,5,523,453,59,6,5,104.20,15,200044286,10
2019-06-01,18:44:00,5,539,455,65,11,8,102.36,15,200044286,10
2019-06-01,18:59:00,5,517,441,54,12,10,104.53,15,200044286,10
2019-06-01,19:14:00,5,451,391,43,11,6,105.37,15,200044286,10
2019-06-01,19:29:00,5,448,387,50,5,6,106.14,15,200044286,10
2019-06-01,19:44:00,5,437,370,49,9,9,105.09,15,200044286,10
2019-06-01,19:59:00,5,432,358,52,10,12,103.62,15,200044286,10
2019-06-01,20:14:00,5,344,288,43,10,3,105.97,15,200044286,10
