MIDAS ID, Legacy MIDAS ID, Site Name
452ACB1C0210454F9D0780DA73C6E79E,30028793,MIDAS site at M32/5060B priority 1 on link 200044286; GPS Ref: 362986;177624; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2015-06-01,00:14:00,6,76,54,8,5,10,100.11,14,200044286,1
2015-06-01,00:27:00,6,85,57,8,10,10,102.35,11,200044286,1
2015-06-01,00:44:00,6,61,50,5,3,4,106.10,12,200044286,1
2015-06-01,00:59:00,6,54,42,5,2,6,100.38,13,200044286,1
2015-06-01,01:14:00,0,41,28,5,4,5,102.48,12,200044286,1
2015-06-01,01:29:00,0,35,25,4,5,1,99.81,15,200044286,1
2015-06-01,01:44:00,0,40,32,4,2,2,102.15,15,200044286,1
2015-06-01,01:50:00,0,51,24,3,9,15,100.92,5,200044286,1
2015-06-01,02:14:00,0,50,33,2,3,12,101.54,9,200044286,1
2015-06-01,02:29:00,0,25,18,3,2,2,104.55,15,200044286,1
2015-06-01,02:44:00,0,30,22,3,4,1,99.33,15,200044286,1
2015-06-01,02:59:00,0,36,24,4,4,4,105.02,15,200044286,1
2015-06-01,03:14:00,0,29,19,0,8,3,99.39,12,200044286,1
2015-06-01,03:29:00,0,31,15,5,5,6,96.09,15,200044286,1
2015-06-01,03:44:00,0,42,29,5,4,4,101.03,15,200044286,1
2015-06-01,03:59:00,0,39,28,4,3,4,103.45,15,200044286,1
2015-06-01,04:14:00,0,46,29,6,5,6,103.17,15,200044286,1
2015-06-01,04:29:00,0,65,46,6,8,5,103.60,15,200044286,1
2015-06-01,04:44:00,0,72,57,6,7,2,105.66,15,200044286,1
2015-06-01,04:59:00,0,77,55,8,7,7,105.69,15,200044286,1
2015-06-01,05:14:00,0,95,69,14,4,8,102.21,15,200044286,1
2015-06-01,05:29:00,0,97,70,13,7,7,104.95,15,200044286,1
2015-06-01,05:44:00,0,151,112,15,11,13,106.51,15,200044286,1
2015-06-01,05:59:00,0,161,108,17,15,21,101.45,15,200044286,1
2015-06-01,06:14:00,0,221,149,32,25,15,102.84,15,200044286,1
2015-06-01,06:29:00,0,288,222,38,18,10,106.95,15,200044286,1
2015-06-01,06:44:00,0,491,386,62,24,19,104.10,15,200044286,1
2015-06-01,06:59:00,0,730,544,107,48,31,98.70,15,200044286,1
2015-06-01,07:14:00,0,855,704,100,26,25,94.90,15,200044286,1
2015-06-01,07:29:00,0,1024,835,145,27,17,88.24,15,200044286,1
2015-06-01,07:44:00,0,1019,845,106,37,31,79.35,15,200044286,1
2015-06-01,07:59:00,0,788,669,79,22,18,39.52,15,200044286,1
2015-06-01,08:14:00,0,879,715,98,47,19,63.29,15,200044286,1
2015-06-01,08:29:00,0,606,491,63,33,19,32.30,15,200044286,1
2015-06-01,08:44:00,0,931,756,106,40,29,64.91,15,200044286,1
2015-06-01,08:59:00,0,737,572,93,48,24,42.85,15,200044286,1
2015-06-01,09:14:00,0,734,589,92,38,15,87.56,15,200044286,1
2015-06-01,09:29:00,0,646,496,89,39,22,98.76,15,200044286,1
2015-06-01,09:44:00,0,691,535,86,47,23,98.22,15,200044286,1
2015-06-01,09:59:00,0,643,482,94,44,23,100.42,15,200044286,1
2015-06-01,10:14:00,0,585,422,79,58,26,100.37,15,200044286,1
2015-06-01,10:29:00,0,538,379,85,44,30,98.90,15,200044286,1
2015-06-01,10:44:00,0,547,397,92,39,19,99.55,15,200044286,1
2015-06-01,10:59:00,0,559,403,79,53,24,98.64,15,200044286,1
2015-06-01,11:14:00,0,533,366,92,50,25,99.74,15,200044286,1
2015-06-01,11:29:00,0,562,411,83,50,18,100.27,15,200044286,1
2015-06-01,11:44:00,0,545,384,95,40,26,101.79,15,200044286,1
2015-06-01,11:59:00,0,558,410,83,48,17,102.26,15,200044286,1
2015-06-01,12:14:00,0,525,357,98,47,23,99.06,15,200044286,1
2015-06-01,12:29:00,0,582,428,70,61,23,98.68,15,200044286,1
2015-06-01,12:44:00,0,600,425,94,54,27,99.83,15,200044286,1
2015-06-01,12:59:00,0,531,387,84,41,19,95.99,15,200044286,1
2015-06-01,13:14:00,0,577,407,101,46,23,97.90,15,200044286,1
2015-06-01,13:29:00,0,562,409,85,46,22,99.22,15,200044286,1
2015-06-01,13:44:00,0,589,445,82,45,17,98.53,15,200044286,1
2015-06-01,13:59:00,0,516,368,84,44,20,99.65,15,200044286,1
2015-06-01,14:14:00,0,525,377,85,49,14,101.01,15,200044286,1
2015-06-01,14:29:00,0,534,383,90,40,21,99.84,15,200044286,1
2015-06-01,14:44:00,0,552,407,65,59,21,98.25,15,200044286,1
2015-06-01,14:59:00,0,531,370,88,54,19,98.68,15,200044286,1
2015-06-01,15:14:00,0,577,397,95,59,26,98.50,15,200044286,1
2015-06-01,15:29:00,0,547,398,87,48,14,100.44,15,200044286,1
2015-06-01,15:44:00,0,631,486,87,45,13,96.88,15,200044286,1
2015-06-01,15:59:00,0,625,465,102,42,16,96.71,15,200044286,1
2015-06-01,16:14:00,0,637,496,84,47,10,98.68,15,200044286,1
2015-06-01,16:29:00,0,665,547,71,39,8,98.79,15,200044286,1
2015-06-01,16:44:00,0,771,620,104,38,9,96.50,15,200044286,1
2015-06-01,16:59:00,0,821,683,98,24,16,93.52,15,200044286,1
2015-06-01,17:14:00,0,774,656,82,25,11,94.82,15,200044286,1
2015-06-01,17:29:00,0,846,733,73,32,8,85.83,15,200044286,1
2015-06-01,17:44:00,0,844,741,65,26,12,91.51,15,200044286,1
2015-06-01,17:59:00,0,862,754,72,22,14,87.71,15,200044286,1
2015-06-01,18:14:00,0,805,714,64,21,6,93.14,15,200044286,1
2015-06-01,18:29:00,0,898,797,73,15,13,64.80,15,200044286,1
2015-06-01,18:44:00,0,624,537,66,15,6,98.06,15,200044286,1
2015-06-01,18:59:00,0,624,516,76,18,14,98.97,15,200044286,1
2015-06-01,19:14:00,0,508,432,51,19,6,100.31,15,200044286,1
2015-06-01,19:29:00,0,478,406,40,19,13,100.10,15,200044286,1
2015-06-01,19:44:00,0,372,307,35,19,11,103.13,15,200044286,1
2015-06-01,19:59:00,0,310,247,38,15,10,103.85,15,200044286,1
2015-06-01,20:14:00,0,289,233,31,11,14,104.95,15,200044286,1
2015-06-01,20:29:00,0,298,240,39,8,11,103.69,15,200044286,1
2015-06-01,20:44:00,0,248,207,24,9,8,104.27,15,200044286,1
2015-06-01,20:59:00,0,227,184,29,7,7,103.34,15,200044286,1
2015-06-01,21:14:00,0,209,157,31,12,9,100.81,15,200044286,1
2015-06-01,21:29:00,0,205,176,17,6,6,99.99,15,200044286,1
2015-06-01,21:44:00,0,149,129,16,2,2,101.05,15,200044286,1
2015-06-01,21:59:00,0,157,126,21,5,5,99.16,15,200044286,1
2015-06-01,22:14:00,0,133,105,17,5,6,99.91,15,200044286,1
2015-06-01,22:29:00,0,136,114,16,2,4,100.58,15,200044286,1
2015-06-01,22:44:00,0,120,99,9,4,8,100.63,15,200044286,1
2015-06-01,22:59:00,0,116,96,12,3,5,101.67,15,200044286,1
2015-06-01,23:14:00,0,106,81,13,5,7,102.96,15,200044286,1
2015-06-01,23:29:00,0,83,62,12,4,5,100.69,15,200044286,1
2015-06-01,23:44:00,0,67,40,12,10,5,98.70,15,200044286,1
2015-06-01,23:59:00,0,70,44,6,6,14,96.11,15,200044286,1
2015-06-02,00:14:00,0,60,37,10,5,8,99.04,15,200044286,1
2015-06-02,00:29:00,0,39,23,2,4,10,95.72,15,200044286,1
2015-06-02,00:44:00,0,40,30,5,1,4,102.60,15,200044286,1
2015-06-02,00:59:00,0,41,26,1,4,10,97.20,15,200044286,1
2015-06-02,01:14:00,1,28,16,3,3,6,95.68,15,200044286,1
2015-06-02,01:29:00,1,44,29,1,3,11,102.60,15,200044286,1
2015-06-02,01:44:00,1,32,18,3,2,9,99.36,15,200044286,1
2015-06-02,01:59:00,1,22,9,3,4,6,102.03,15,200044286,1
2015-06-02,02:14:00,1,22,9,2,7,4,92.72,15,200044286,1
2015-06-02,02:29:00,1,27,13,3,6,5,97.29,15,200044286,1
2015-06-02,02:44:00,1,32,22,4,2,4,94.08,15,200044286,1
2015-06-02,02:59:00,1,29,16,3,6,4,97.09,15,200044286,1
2015-06-02,03:14:00,1,34,19,6,2,7,98.13,15,200044286,1
2015-06-02,03:29:00,1,24,12,2,3,7,95.17,15,200044286,1
2015-06-02,03:44:00,1,27,16,4,4,3,97.54,15,200044286,1
2015-06-02,03:59:00,1,58,39,5,7,7,95.85,15,200044286,1
2015-06-02,04:14:00,1,43,24,4,8,7,92.54,15,200044286,1
2015-06-02,04:29:00,1,44,32,3,6,3,98.12,15,200044286,1
2015-06-02,04:44:00,1,63,39,7,9,8,103.91,15,200044286,1
2015-06-02,04:59:00,1,82,55,11,9,7,100.82,15,200044286,1
2015-06-02,05:14:00,1,72,51,11,3,7,98.41,15,200044286,1
2015-06-02,05:29:00,1,91,55,12,9,15,102.34,15,200044286,1
2015-06-02,05:44:00,1,127,81,25,7,14,106.32,15,200044286,1
2015-06-02,05:59:00,1,160,109,17,15,19,102.70,15,200044286,1
2015-06-02,06:14:00,1,189,123,30,18,18,100.90,15,200044286,1
2015-06-02,06:29:00,1,321,229,43,33,16,104.05,15,200044286,1
2015-06-02,06:44:00,1,463,338,66,34,25,100.33,15,200044286,1
2015-06-02,06:59:00,1,598,441,98,38,21,96.38,15,200044286,1
2015-06-02,07:14:00,1,818,678,89,31,20,91.26,15,200044286,1
2015-06-02,07:29:00,1,886,741,105,23,17,82.64,15,200044286,1
2015-06-02,07:44:00,1,901,753,100,32,16,61.84,15,200044286,1
2015-06-02,07:59:00,1,804,693,61,33,17,59.94,15,200044286,1
2015-06-02,08:14:00,1,793,662,92,28,11,64.04,15,200044286,1
2015-06-02,08:29:00,1,786,643,86,40,17,65.00,15,200044286,1
2015-06-02,08:44:00,1,782,643,69,43,27,62.99,15,200044286,1
2015-06-02,08:59:00,1,709,579,73,41,16,54.64,15,200044286,1
2015-06-02,09:14:00,1,712,586,66,37,23,69.39,15,200044286,1
2015-06-02,09:29:00,1,713,571,79,39,24,73.07,15,200044286,1
2015-06-02,09:44:00,1,609,475,74,34,26,41.39,15,200044286,1
2015-06-02,09:59:00,1,730,540,100,67,23,55.56,15,200044286,1
2015-06-02,10:14:00,1,698,513,105,47,33,87.58,15,200044286,1
2015-06-02,10:29:00,1,636,455,106,50,25,94.12,15,200044286,1
2015-06-02,10:44:00,1,569,397,103,52,17,96.19,15,200044286,1
2015-06-02,10:59:00,1,554,417,83,36,18,94.66,15,200044286,1
2015-06-02,11:14:00,1,505,361,87,42,15,97.99,15,200044286,1
2015-06-02,11:29:00,1,532,378,83,44,27,96.14,15,200044286,1
2015-06-02,11:44:00,1,504,365,84,37,18,99.31,15,200044286,1
2015-06-02,11:59:00,1,542,380,93,48,21,96.95,15,200044286,1
2015-06-02,12:14:00,1,491,358,76,31,26,100.19,15,200044286,1
2015-06-02,12:29:00,1,529,373,87,54,15,97.36,15,200044286,1
2015-06-02,12:44:00,1,533,377,88,45,23,96.45,15,200044286,1
2015-06-02,12:59:00,1,509,357,85,48,19,98.11,15,200044286,1
2015-06-02,13:14:00,1,541,386,90,48,17,99.26,15,200044286,1
