MIDAS ID, Legacy MIDAS ID, Site Name
452ACB1C0210454F9D0780DA73C6E79E,30028793,MIDAS site at M32/5060B priority 1 on link 200044286; GPS Ref: 362986;177624; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2019-11-01,00:14:00,11,91,64,10,6,11,99.07,15,200044286,11
2019-11-01,00:29:00,11,100,69,16,8,7,102.83,15,200044286,11
2019-11-01,00:44:00,11,60,40,6,4,10,99.69,15,200044286,11
2019-11-01,00:59:00,11,81,62,8,5,6,100.38,15,200044286,11
2019-11-01,01:14:00,11,60,35,13,4,8,99.29,15,200044286,11
2019-11-01,01:29:00,11,47,33,1,5,8,96.90,15,200044286,11
2019-11-01,01:44:00,11,57,45,4,5,3,104.50,15,200044286,11
2019-11-01,01:59:00,11,47,30,5,5,7,99.74,15,200044286,11
2019-11-01,02:14:00,11,47,30,5,4,8,96.52,15,200044286,11
2019-11-01,02:29:00,11,59,34,10,6,9,98.65,15,200044286,11
2019-11-01,02:44:00,11,64,44,11,5,4,98.73,15,200044286,11
2019-11-01,02:59:00,11,54,35,9,5,5,101.53,15,200044286,11
2019-11-01,03:14:00,11,70,47,7,6,10,97.78,15,200044286,11
2019-11-01,03:29:00,11,68,44,14,3,7,100.27,15,200044286,11
2019-11-01,03:44:00,11,59,34,10,7,8,99.71,15,200044286,11
2019-11-01,03:59:00,11,72,49,9,6,8,96.53,15,200044286,11
2019-11-01,04:14:00,11,73,47,10,7,9,97.06,15,200044286,11
2019-11-01,04:29:00,11,86,55,14,7,10,100.48,15,200044286,11
2019-11-01,04:44:00,11,87,55,13,11,8,98.74,15,200044286,11
2019-11-01,04:59:00,11,86,56,14,8,8,102.58,15,200044286,11
2019-11-01,05:14:00,11,94,53,16,12,13,99.02,15,200044286,11
2019-11-01,05:29:00,11,108,70,14,10,14,97.46,15,200044286,11
2019-11-01,05:44:00,11,157,104,20,13,20,98.96,15,200044286,11
2019-11-01,05:59:00,11,186,124,29,16,17,97.42,15,200044286,11
2019-11-01,06:14:00,11,243,170,30,22,21,93.76,15,200044286,11
2019-11-01,06:29:00,11,316,215,50,27,24,96.89,15,200044286,11
2019-11-01,06:44:00,11,491,355,86,32,18,96.57,15,200044286,11
2019-11-01,06:59:00,11,651,481,111,33,26,90.31,15,200044286,11
2019-11-01,07:14:00,11,713,524,135,35,19,94.40,15,200044286,11
2019-11-01,07:29:00,11,850,643,148,36,23,90.36,15,200044286,11
2019-11-01,07:44:00,11,813,617,130,39,27,90.89,15,200044286,11
2019-11-01,07:59:00,11,699,509,122,47,21,96.36,15,200044286,11
2019-11-01,08:14:00,11,716,536,109,48,23,94.52,15,200044286,11
2019-11-01,08:29:00,11,687,516,112,43,16,97.47,15,200044286,11
2019-11-01,08:44:00,11,582,412,100,49,21,98.70,15,200044286,11
2019-11-01,08:59:00,11,628,424,114,69,21,98.07,15,200044286,11
2019-11-01,09:14:00,11,627,454,101,54,18,95.02,15,200044286,11
2019-11-01,09:29:00,11,589,427,103,42,17,97.12,15,200044286,11
2019-11-01,09:44:00,11,667,503,92,58,14,94.81,15,200044286,11
2019-11-01,09:59:00,11,645,484,92,43,26,94.84,15,200044286,11
2019-11-01,10:14:00,11,576,385,114,59,18,97.39,15,200044286,11
2019-11-01,10:29:00,11,627,466,93,52,16,96.86,15,200044286,11
2019-11-01,10:44:00,11,639,460,100,54,25,95.22,15,200044286,11
2019-11-01,10:59:00,11,641,444,114,57,26,96.49,15,200044286,11
2019-11-01,11:14:00,11,620,480,81,44,15,96.59,15,200044286,11
2019-11-01,11:29:00,11,670,492,97,52,29,94.24,15,200044286,11
2019-11-01,11:44:00,11,767,567,132,44,24,93.92,15,200044286,11
2019-11-01,11:59:00,11,639,491,99,35,14,98.41,15,200044286,11
