MIDAS ID, Legacy MIDAS ID, Site Name
452ACB1C0210454F9D0780DA73C6E79E,30028793,MIDAS site at M32/5060B priority 1 on link 200044286; GPS Ref: 362986;177624; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2019-01-01,00:14:00,14,51,40,6,1,4,99.05,15,200044286,9
2019-01-01,00:29:00,14,70,54,9,4,3,101.60,15,200044286,9
2019-01-01,00:44:00,14,100,84,10,4,2,100.85,15,200044286,9
2019-01-01,00:59:00,14,110,91,17,0,2,102.24,15,200044286,9
2019-01-01,01:14:00,14,128,109,14,3,2,101.08,15,200044286,9
2019-01-01,01:29:00,14,120,99,17,2,2,100.56,15,200044286,9
2019-01-01,01:44:00,14,89,73,13,2,1,106.12,15,200044286,9
2019-01-01,01:59:00,14,134,117,14,3,0,103.53,15,200044286,9
2019-01-01,02:14:00,14,88,72,10,2,4,100.97,15,200044286,9
2019-01-01,02:29:00,14,107,89,14,3,1,102.87,15,200044286,9
2019-01-01,02:44:00,14,93,71,22,0,0,101.78,15,200044286,9
2019-01-01,02:59:00,14,111,89,18,4,0,102.82,15,200044286,9
2019-01-01,03:14:00,14,93,67,24,2,0,102.29,15,200044286,9
2019-01-01,03:29:00,14,95,70,20,1,4,103.28,15,200044286,9
2019-01-01,03:44:00,14,81,66,15,0,0,101.76,15,200044286,9
2019-01-01,03:59:00,14,73,54,14,2,3,99.88,15,200044286,9
2019-01-01,04:14:00,14,79,60,14,3,2,98.85,15,200044286,9
2019-01-01,04:29:00,14,71,52,18,1,0,104.01,15,200044286,9
2019-01-01,04:44:00,14,75,58,12,4,1,98.29,15,200044286,9
2019-01-01,04:59:00,14,86,69,12,2,3,98.62,15,200044286,9
2019-01-01,05:14:00,14,70,54,15,1,0,105.43,15,200044286,9
2019-01-01,05:29:00,14,65,49,12,2,2,101.65,15,200044286,9
2019-01-01,05:44:00,14,51,40,9,2,0,107.51,15,200044286,9
2019-01-01,05:59:00,14,31,26,3,0,2,99.94,15,200044286,9
2019-01-01,06:14:00,14,70,59,7,3,1,101.78,15,200044286,9
2019-01-01,06:29:00,14,63,59,2,0,2,102.56,15,200044286,9
2019-01-01,06:44:00,14,81,72,8,1,0,103.69,15,200044286,9
2019-01-01,06:59:00,14,69,59,9,0,1,101.96,15,200044286,9
2019-01-01,07:14:00,14,71,59,9,1,2,100.87,15,200044286,9
2019-01-01,07:29:00,14,66,61,3,1,1,101.09,15,200044286,9
2019-01-01,07:44:00,14,62,52,4,2,4,100.04,15,200044286,9
2019-01-01,07:59:00,14,73,68,3,0,2,105.16,15,200044286,9
2019-01-01,08:14:00,14,51,47,2,1,1,104.34,15,200044286,9
2019-01-01,08:29:00,14,65,54,9,0,2,103.20,15,200044286,9
2019-01-01,08:44:00,14,75,56,14,2,3,105.39,15,200044286,9
2019-01-01,08:59:00,14,86,66,13,6,1,104.88,15,200044286,9
2019-01-01,09:14:00,14,86,75,5,0,6,103.53,15,200044286,9
2019-01-01,09:29:00,14,121,104,14,2,1,102.49,15,200044286,9
2019-01-01,09:44:00,14,160,138,18,1,3,102.90,15,200044286,9
2019-01-01,09:59:00,14,188,161,23,3,1,104.33,15,200044286,9
2019-01-01,10:14:00,14,261,232,27,1,1,103.83,15,200044286,9
2019-01-01,10:29:00,14,210,175,29,0,6,104.68,15,200044286,9
2019-01-01,10:44:00,14,250,223,19,5,3,104.62,15,200044286,9
2019-01-01,10:59:00,14,245,212,26,4,3,105.07,15,200044286,9
2019-01-01,11:14:00,14,272,243,24,3,2,102.66,15,200044286,9
2019-01-01,11:29:00,14,324,275,40,5,4,101.15,15,200044286,9
2019-01-01,11:44:00,14,377,326,45,1,5,104.02,15,200044286,9
2019-01-01,11:59:00,14,341,299,39,2,1,103.89,15,200044286,9
2019-01-01,12:14:00,14,374,320,48,2,4,102.87,15,200044286,9
2019-01-01,12:29:00,14,410,362,45,0,3,104.34,15,200044286,9
2019-01-01,12:44:00,14,396,356,36,3,1,104.29,15,200044286,9
2019-01-01,12:59:00,14,415,363,48,3,1,102.65,15,200044286,9
2019-01-01,13:14:00,14,406,362,41,0,3,103.87,15,200044286,9
2019-01-01,13:29:00,14,431,388,35,5,3,102.55,15,200044286,9
2019-01-01,13:44:00,14,455,405,43,3,4,103.36,15,200044286,9
2019-01-01,13:59:00,14,434,386,44,3,1,103.55,15,200044286,9
2019-01-01,14:14:00,14,465,408,48,5,4,103.10,15,200044286,9
2019-01-01,14:29:00,14,417,369,45,2,1,103.43,15,200044286,9
2019-01-01,14:44:00,14,507,450,50,6,1,103.57,15,200044286,9
2019-01-01,14:59:00,14,430,387,34,5,4,104.84,15,200044286,9
2019-01-01,15:14:00,14,445,383,57,2,3,104.42,15,200044286,9
2019-01-01,15:29:00,14,429,388,39,2,0,105.51,15,200044286,9
2019-01-01,15:44:00,14,494,442,48,1,3,104.42,15,200044286,9
2019-01-01,15:59:00,14,462,396,58,5,3,101.43,15,200044286,9
2019-01-01,16:14:00,14,457,411,43,1,2,104.10,15,200044286,9
2019-01-01,16:29:00,14,484,424,55,3,2,101.43,15,200044286,9
2019-01-01,16:44:00,14,453,403,47,1,2,101.26,15,200044286,9
2019-01-01,16:59:00,14,462,403,57,1,1,98.83,15,200044286,9
2019-01-01,17:14:00,14,403,361,35,3,4,98.53,15,200044286,9
2019-01-01,17:29:00,14,394,342,47,2,3,100.28,15,200044286,9
2019-01-01,17:44:00,14,398,337,51,6,4,102.19,15,200044286,9
2019-01-01,17:59:00,14,377,344,30,1,2,102.81,15,200044286,9
2019-01-01,18:14:00,14,381,347,24,7,3,101.95,15,200044286,9
2019-01-01,18:29:00,14,311,273,32,2,4,99.92,15,200044286,9
2019-01-01,18:44:00,14,378,321,48,7,2,102.27,15,200044286,9
2019-01-01,18:59:00,14,368,320,37,8,3,104.32,15,200044286,9
2019-01-01,19:14:00,14,291,249,30,8,4,104.77,15,200044286,9
2019-01-01,19:29:00,14,286,235,34,8,9,104.01,15,200044286,9
2019-01-01,19:44:00,14,280,230,35,6,9,103.49,15,200044286,9
2019-01-01,19:59:00,14,252,217,30,3,2,104.95,15,200044286,9
2019-01-01,20:14:00,14,267,238,23,3,3,103.45,15,200044286,9
2019-01-01,20:29:00,14,238,209,17,4,8,103.94,15,200044286,9
2019-01-01,20:44:00,14,214,186,20,5,3,104.69,15,200044286,9
2019-01-01,20:59:00,14,202,174,24,1,3,107.29,15,200044286,9
2019-01-01,21:14:00,14,182,159,14,3,6,104.95,15,200044286,9
2019-01-01,21:29:00,14,201,172,19,3,7,103.77,15,200044286,9
2019-01-01,21:44:00,14,146,127,17,2,0,106.88,15,200044286,9
2019-01-01,21:59:00,14,138,111,16,4,7,102.55,15,200044286,9
2019-01-01,22:14:00,14,152,131,14,3,4,102.80,15,200044286,9
2019-01-01,22:29:00,14,122,105,11,2,4,103.63,15,200044286,9
2019-01-01,22:44:00,14,123,113,8,1,1,104.69,15,200044286,9
2019-01-01,22:59:00,14,96,83,7,1,5,102.64,15,200044286,9
2019-01-01,23:14:00,14,79,71,3,2,3,105.92,15,200044286,9
2019-01-01,23:29:00,14,90,77,4,3,6,101.16,15,200044286,9
2019-01-01,23:44:00,14,64,50,7,2,5,100.59,15,200044286,9
2019-01-01,23:59:00,14,60,38,11,6,5,101.00,15,200044286,9
2019-01-02,00:14:00,7,33,28,3,1,1,96.88,15,200044286,9
2019-01-02,00:29:00,7,41,27,8,0,6,99.58,15,200044286,9
2019-01-02,00:44:00,7,42,30,6,1,5,102.33,15,200044286,9
2019-01-02,00:59:00,7,28,21,3,1,3,103.83,15,200044286,9
2019-01-02,01:14:00,7,31,25,1,2,3,101.53,15,200044286,9
2019-01-02,01:29:00,7,30,24,2,3,1,94.15,15,200044286,9
2019-01-02,01:44:00,7,28,17,3,2,6,97.83,15,200044286,9
2019-01-02,01:59:00,7,21,13,3,4,1,101.17,15,200044286,9
2019-01-02,02:14:00,7,22,13,4,3,2,101.37,15,200044286,9
2019-01-02,02:29:00,7,29,22,1,0,6,100.22,15,200044286,9
2019-01-02,02:44:00,7,31,23,3,3,2,101.04,15,200044286,9
2019-01-02,02:59:00,7,24,16,3,4,1,106.85,15,200044286,9
2019-01-02,03:14:00,7,22,12,2,3,5,93.67,15,200044286,9
2019-01-02,03:29:00,7,9,5,1,2,1,100.17,15,200044286,9
2019-01-02,03:44:00,7,26,17,2,3,4,99.68,15,200044286,9
2019-01-02,03:59:00,7,22,15,2,4,1,103.73,15,200044286,9
2019-01-02,04:14:00,7,29,17,4,5,3,97.41,15,200044286,9
2019-01-02,04:29:00,7,38,28,2,4,4,97.30,15,200044286,9
2019-01-02,04:44:00,7,56,38,4,8,6,97.69,15,200044286,9
2019-01-02,04:59:00,7,67,43,12,10,2,101.31,15,200044286,9
2019-01-02,05:14:00,7,76,58,5,6,7,101.62,15,200044286,9
2019-01-02,05:29:00,7,88,58,8,8,14,99.36,15,200044286,9
2019-01-02,05:44:00,7,130,92,17,13,8,101.03,15,200044286,9
2019-01-02,05:59:00,7,168,119,22,15,12,102.04,15,200044286,9
2019-01-02,06:14:00,7,193,139,26,20,8,101.81,15,200044286,9
2019-01-02,06:29:00,7,262,202,29,20,11,102.02,15,200044286,9
2019-01-02,06:44:00,7,463,370,63,21,9,99.23,15,200044286,9
2019-01-02,06:59:00,7,592,467,88,20,17,97.73,15,200044286,9
2019-01-02,07:14:00,7,690,570,80,25,15,93.19,15,200044286,9
2019-01-02,07:29:00,7,761,615,97,30,19,87.69,15,200044286,9
2019-01-02,07:44:00,7,824,657,111,38,18,87.54,15,200044286,9
