MIDAS ID, Legacy MIDAS ID, Site Name
452ACB1C0210454F9D0780DA73C6E79E,30028793,MIDAS site at M32/5060B priority 1 on link 200044286; GPS Ref: 362986;177624; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2020-05-01,00:14:00,3,15,9,1,1,4,93.41,15,200044286,12
2020-05-01,00:29:00,3,16,11,1,2,2,97.95,15,200044286,12
2020-05-01,00:44:00,3,20,13,0,3,4,95.78,15,200044286,12
2020-05-01,00:59:00,3,23,7,4,3,9,94.73,15,200044286,12
2020-05-01,01:14:00,4,15,9,1,1,4,92.41,15,200044286,12
2020-05-01,01:29:00,4,20,8,4,3,5,96.93,15,200044286,12
2020-05-01,01:44:00,4,16,10,1,1,4,95.34,15,200044286,12
2020-05-01,01:59:00,4,10,4,2,0,4,93.80,15,200044286,12
2020-05-01,02:14:00,4,18,7,2,1,8,97.06,15,200044286,12
2020-05-01,02:29:00,4,22,13,3,3,3,95.93,15,200044286,12
2020-05-01,02:44:00,4,19,10,3,2,4,97.72,15,200044286,12
2020-05-01,02:59:00,4,18,8,1,1,8,89.82,15,200044286,12
2020-05-01,03:14:00,4,21,11,2,2,6,92.45,15,200044286,12
2020-05-01,03:29:00,4,17,9,2,1,5,96.61,15,200044286,12
2020-05-01,03:44:00,4,25,11,6,3,5,93.71,15,200044286,12
2020-05-01,03:59:00,4,22,11,1,6,4,94.75,15,200044286,12
2020-05-01,04:14:00,4,24,16,2,0,6,98.01,15,200044286,12
2020-05-01,04:29:00,4,27,12,4,2,9,93.58,15,200044286,12
2020-05-01,04:44:00,4,40,18,3,6,13,94.35,15,200044286,12
2020-05-01,04:59:00,4,37,16,5,4,12,96.67,15,200044286,12
2020-05-01,05:14:00,4,39,25,7,2,5,98.87,15,200044286,12
2020-05-01,05:29:00,4,60,37,10,4,9,99.02,15,200044286,12
2020-05-01,05:44:00,4,91,51,17,10,13,100.23,15,200044286,12
2020-05-01,05:59:00,4,106,64,13,15,14,106.30,15,200044286,12
2020-05-01,06:14:00,4,145,96,23,11,15,104.39,15,200044286,12
2020-05-01,06:29:00,4,206,143,34,15,14,103.41,15,200044286,12
2020-05-01,06:44:00,4,234,167,43,14,10,104.59,15,200044286,12
2020-05-01,06:59:00,4,307,201,64,27,15,102.89,15,200044286,12
2020-05-01,07:14:00,4,284,186,58,24,16,99.75,15,200044286,12
2020-05-01,07:29:00,4,378,265,63,33,17,90.27,15,200044286,12
2020-05-01,07:44:00,4,367,241,77,38,11,73.29,15,200044286,12
2020-05-01,07:59:00,4,369,220,100,32,17,73.46,15,200044286,12
2020-05-01,08:14:00,4,297,181,67,34,15,79.55,15,200044286,12
2020-05-01,08:29:00,4,300,198,58,31,13,79.75,15,200044286,12
2020-05-01,08:44:00,4,289,175,65,35,14,80.40,15,200044286,12
2020-05-01,08:59:00,4,293,180,55,43,15,79.74,15,200044286,12
2020-05-01,09:14:00,4,237,127,51,46,13,84.29,15,200044286,12
2020-05-01,09:29:00,4,243,131,58,44,10,84.82,15,200044286,12
2020-05-01,09:44:00,4,211,131,42,23,15,82.39,15,200044286,12
2020-05-01,09:59:00,4,210,126,48,26,10,85.19,15,200044286,12
2020-05-01,10:14:00,4,203,107,40,42,14,83.34,15,200044286,12
2020-05-01,10:29:00,4,251,128,69,42,12,80.50,15,200044286,12
2020-05-01,10:44:00,4,217,131,37,38,11,81.77,15,200044286,12
2020-05-01,10:59:00,4,191,100,47,34,10,84.52,15,200044286,12
2020-05-01,11:14:00,4,212,121,49,31,11,83.54,15,200044286,12
2020-05-01,11:29:00,4,208,108,62,27,11,83.08,15,200044286,12
2020-05-01,11:44:00,4,199,109,42,43,5,85.71,15,200044286,12
2020-05-01,11:59:00,4,209,109,51,39,10,82.94,15,200044286,12
2020-05-01,12:14:00,4,202,124,38,31,9,86.39,15,200044286,12
2020-05-01,12:29:00,4,215,137,41,27,10,84.40,15,200044286,12
2020-05-01,12:44:00,4,239,143,53,29,14,83.77,15,200044286,12
2020-05-01,12:59:00,4,240,142,61,24,13,84.25,15,200044286,12
2020-05-01,13:14:00,4,254,151,61,28,14,81.72,15,200044286,12
2020-05-01,13:29:00,4,255,156,52,37,10,84.01,15,200044286,12
2020-05-01,13:44:00,4,240,155,58,20,7,87.69,15,200044286,12
2020-05-01,13:59:00,4,238,156,50,25,7,86.57,15,200044286,12
2020-05-01,14:14:00,4,284,189,53,31,11,82.55,15,200044286,12
2020-05-01,14:29:00,4,259,170,44,29,16,83.90,15,200044286,12
2020-05-01,14:44:00,4,276,178,63,26,9,83.28,15,200044286,12
2020-05-01,14:59:00,4,253,156,64,25,8,82.99,15,200044286,12
2020-05-01,15:14:00,4,276,189,46,32,9,80.97,15,200044286,12
2020-05-01,15:29:00,4,299,183,69,42,5,80.98,15,200044286,12
2020-05-01,15:44:00,4,270,186,57,21,6,86.04,15,200044286,12
2020-05-01,15:59:00,4,306,202,66,29,9,80.94,15,200044286,12
2020-05-01,16:14:00,4,260,175,57,19,9,81.07,15,200044286,12
2020-05-01,16:29:00,4,236,158,54,17,7,87.03,15,200044286,12
2020-05-01,16:44:00,4,266,179,56,20,11,84.53,15,200044286,12
2020-05-01,16:59:00,4,257,175,55,19,8,102.57,15,200044286,12
2020-05-01,17:14:00,4,233,175,36,16,6,102.60,15,200044286,12
2020-05-01,17:29:00,4,231,194,25,8,4,104.77,15,200044286,12
2020-05-01,17:44:00,4,252,194,46,7,5,103.49,15,200044286,12
2020-05-01,17:59:00,4,231,186,33,7,5,106.57,15,200044286,12
2020-05-01,18:14:00,4,199,159,27,9,4,106.45,15,200044286,12
2020-05-01,18:29:00,4,216,174,32,6,4,105.88,15,200044286,12
2020-05-01,18:44:00,4,204,165,30,6,3,105.02,15,200044286,12
2020-05-01,18:59:00,4,169,142,19,6,2,108.53,15,200044286,12
2020-05-01,19:14:00,4,151,120,24,5,2,106.10,15,200044286,12
2020-05-01,19:29:00,4,138,110,21,5,2,107.91,15,200044286,12
2020-05-01,19:44:00,4,107,86,14,4,3,107.78,15,200044286,12
2020-05-01,19:59:00,4,129,103,21,4,1,107.64,15,200044286,12
2020-05-01,20:14:00,4,109,85,12,5,7,103.31,15,200044286,12
2020-05-01,20:29:00,4,112,78,25,6,3,106.25,15,200044286,12
2020-05-01,20:44:00,4,85,69,5,4,7,103.59,15,200044286,12
2020-05-01,20:59:00,4,66,50,11,3,2,100.46,15,200044286,12
2020-05-01,21:14:00,4,66,57,5,1,3,94.47,15,200044286,12
2020-05-01,21:29:00,4,81,67,5,2,7,95.84,15,200044286,12
2020-05-01,21:44:00,4,79,61,10,5,3,97.57,15,200044286,12
2020-05-01,21:59:00,4,74,63,8,2,1,105.37,15,200044286,12
2020-05-01,22:14:00,4,83,71,7,2,3,97.24,15,200044286,12
2020-05-01,22:29:00,4,78,63,9,2,4,91.98,15,200044286,12
2020-05-01,22:44:00,4,62,48,10,1,3,90.68,15,200044286,12
2020-05-01,22:59:00,4,53,40,9,2,2,97.47,15,200044286,12
2020-05-01,23:14:00,4,34,24,6,3,1,100.24,15,200044286,12
2020-05-01,23:29:00,4,30,18,5,2,5,94.97,15,200044286,12
2020-05-01,23:44:00,4,21,13,2,2,4,94.21,15,200044286,12
2020-05-01,23:59:00,4,27,16,7,0,4,96.35,15,200044286,12
2020-05-02,00:14:00,4,39,28,3,2,6,102.63,15,200044286,12
2020-05-02,00:29:00,4,25,13,1,3,8,95.05,15,200044286,12
2020-05-02,00:44:00,4,22,10,3,4,5,93.88,15,200044286,12
2020-05-02,00:59:00,4,19,10,0,1,8,91.87,15,200044286,12
2020-05-02,01:14:00,5,23,13,3,1,6,92.18,15,200044286,12
2020-05-02,01:29:00,5,18,9,3,1,5,92.81,15,200044286,12
2020-05-02,01:44:00,5,17,12,2,1,2,106.04,15,200044286,12
2020-05-02,01:59:00,5,13,6,2,0,5,92.61,15,200044286,12
2020-05-02,02:14:00,5,10,7,1,1,1,95.31,15,200044286,12
2020-05-02,02:29:00,5,19,8,2,6,3,102.60,15,200044286,12
2020-05-02,02:44:00,5,15,10,2,0,3,101.11,15,200044286,12
2020-05-02,02:59:00,5,16,7,1,2,6,98.73,15,200044286,12
2020-05-02,03:14:00,5,12,5,2,1,4,90.38,15,200044286,12
2020-05-02,03:29:00,5,15,6,1,0,8,96.84,15,200044286,12
2020-05-02,03:44:00,5,7,3,0,3,1,101.45,15,200044286,12
2020-05-02,03:59:00,5,22,12,0,5,5,96.93,15,200044286,12
2020-05-02,04:14:00,5,12,8,1,2,1,100.69,15,200044286,12
2020-05-02,04:29:00,5,21,11,2,4,4,93.64,15,200044286,12
2020-05-02,04:44:00,5,22,15,1,3,3,93.38,15,200044286,12
2020-05-02,04:59:00,5,30,15,4,4,7,99.60,15,200044286,12
2020-05-02,05:14:00,5,30,12,6,4,8,96.75,15,200044286,12
2020-05-02,05:29:00,5,30,22,1,3,4,95.57,15,200044286,12
2020-05-02,05:44:00,5,38,23,4,6,5,101.23,15,200044286,12
2020-05-02,05:59:00,5,83,61,12,1,9,103.09,15,200044286,12
2020-05-02,06:14:00,5,87,65,10,4,8,104.01,15,200044286,12
2020-05-02,06:29:00,5,105,81,14,8,2,105.83,15,200044286,12
2020-05-02,06:44:00,5,108,76,20,6,6,102.29,15,200044286,12
2020-05-02,06:59:00,5,121,83,19,11,8,101.94,15,200044286,12
2020-05-02,07:14:00,5,92,62,18,7,5,103.30,15,200044286,12
2020-05-02,07:29:00,5,97,64,20,8,5,102.54,15,200044286,12
2020-05-02,07:44:00,5,123,84,26,9,4,104.03,15,200044286,12
2020-05-02,07:59:00,5,86,53,17,10,6,99.13,15,200044286,12
2020-05-02,08:14:00,5,107,66,24,11,6,100.28,15,200044286,12
2020-05-02,08:29:00,5,85,65,12,4,4,101.14,15,200044286,12
2020-05-02,08:44:00,5,104,69,21,11,3,100.89,15,200044286,12
2020-05-02,08:59:00,5,115,77,23,11,4,106.43,15,200044286,12
2020-05-02,09:14:00,5,90,65,14,9,2,102.62,15,200044286,12
2020-05-02,09:29:00,5,107,73,21,11,2,103.59,15,200044286,12
2020-05-02,09:44:00,5,118,74,32,7,5,101.19,15,200044286,12
2020-05-02,09:59:00,5,137,92,30,9,6,104.14,15,200044286,12
2020-05-02,10:14:00,5,161,119,31,10,1,101.83,15,200044286,12
2020-05-02,10:29:00,5,146,109,24,11,2,103.93,15,200044286,12
2020-05-02,10:44:00,5,130,94,26,5,5,101.76,15,200044286,12
2020-05-02,10:59:00,5,145,106,30,6,3,103.27,15,200044286,12
2020-05-02,11:14:00,5,176,118,32,20,6,101.86,15,200044286,12
2020-05-02,11:29:00,5,152,117,23,8,4,105.00,15,200044286,12
2020-05-02,11:44:00,5,164,126,22,9,7,101.71,15,200044286,12
2020-05-02,11:59:00,5,158,115,30,10,3,101.81,15,200044286,12
2020-05-02,12:14:00,5,158,124,20,11,3,104.12,15,200044286,12
2020-05-02,12:29:00,5,139,103,27,8,1,104.99,15,200044286,12
2020-05-02,12:44:00,5,169,130,30,5,4,105.01,15,200044286,12
2020-05-02,12:59:00,5,177,135,24,10,8,103.93,15,200044286,12
2020-05-02,13:14:00,5,170,137,21,10,2,106.78,15,200044286,12
2020-05-02,13:29:00,5,164,135,18,7,4,104.21,15,200044286,12
2020-05-02,13:44:00,5,160,116,31,7,6,104.25,15,200044286,12
2020-05-02,13:59:00,5,177,139,26,8,4,105.30,15,200044286,12
2020-05-02,14:14:00,5,180,145,25,8,2,102.75,15,200044286,12
2020-05-02,14:29:00,5,170,135,28,4,3,105.31,15,200044286,12
2020-05-02,14:44:00,5,189,140,38,7,4,105.57,15,200044286,12
2020-05-02,14:59:00,5,151,109,33,7,2,105.00,15,200044286,12
2020-05-02,15:14:00,5,152,117,26,5,4,104.53,15,200044286,12
2020-05-02,15:29:00,5,181,148,26,4,3,104.14,15,200044286,12
2020-05-02,15:44:00,5,169,129,29,6,5,105.74,15,200044286,12
2020-05-02,15:59:00,5,172,131,33,3,5,105.61,15,200044286,12
2020-05-02,16:14:00,5,149,121,25,2,1,106.72,15,200044286,12
2020-05-02,16:29:00,5,189,151,32,4,2,105.04,15,200044286,12
2020-05-02,16:44:00,5,167,128,32,3,4,103.82,15,200044286,12
2020-05-02,16:59:00,5,161,128,29,2,2,107.32,15,200044286,12
2020-05-02,17:14:00,5,171,139,18,9,5,104.79,15,200044286,12
2020-05-02,17:29:00,5,150,112,27,9,2,106.10,15,200044286,12
2020-05-02,17:44:00,5,125,95,21,3,6,104.10,15,200044286,12
2020-05-02,17:59:00,5,137,110,20,2,5,105.08,15,200044286,12
2020-05-02,18:14:00,5,139,108,22,7,2,110.93,15,200044286,12
2020-05-02,18:29:00,5,137,115,20,1,1,108.78,15,200044286,12
2020-05-02,18:44:00,5,140,112,17,7,4,107.46,15,200044286,12
2020-05-02,18:59:00,5,137,113,18,2,4,108.30,15,200044286,12
2020-05-02,19:14:00,5,133,106,21,2,4,108.79,15,200044286,12
2020-05-02,19:29:00,5,143,115,21,4,3,107.15,15,200044286,12
2020-05-02,19:44:00,5,103,76,21,2,4,108.61,15,200044286,12
2020-05-02,19:59:00,5,95,72,15,2,6,106.99,15,200044286,12
