MIDAS ID, Legacy MIDAS ID, Site Name
452ACB1C0210454F9D0780DA73C6E79E,30028793,MIDAS site at M32/5060B priority 1 on link 200044286; GPS Ref: 362986;177624; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2019-09-01,00:14:00,5,158,135,20,0,3,101.11,15,200044286,10
2019-09-01,00:29:00,5,147,118,17,5,7,103.32,15,200044286,10
2019-09-01,00:44:00,5,119,98,15,4,2,103.45,15,200044286,10
2019-09-01,00:59:00,5,145,120,20,2,3,101.84,15,200044286,10
2019-09-01,01:14:00,6,86,66,11,5,4,102.25,15,200044286,10
2019-09-01,01:29:00,6,115,92,20,2,1,103.66,15,200044286,10
2019-09-01,01:44:00,6,92,67,19,1,5,104.00,15,200044286,10
2019-09-01,01:59:00,6,87,75,9,1,2,103.37,15,200044286,10
2019-09-01,02:14:00,6,92,71,17,1,3,104.58,15,200044286,10
2019-09-01,02:29:00,6,76,53,14,6,3,100.87,15,200044286,10
2019-09-01,02:44:00,6,68,49,17,1,1,101.79,15,200044286,10
2019-09-01,02:59:00,6,93,67,18,5,3,101.00,15,200044286,10
2019-09-01,03:14:00,6,77,66,6,2,3,105.56,15,200044286,10
2019-09-01,03:29:00,6,63,47,9,5,2,103.27,15,200044286,10
2019-09-01,03:44:00,6,74,62,8,0,4,103.05,15,200044286,10
2019-09-01,03:59:00,6,73,52,17,2,2,103.36,15,200044286,10
2019-09-01,04:14:00,6,58,46,9,3,0,109.14,15,200044286,10
2019-09-01,04:29:00,6,63,40,18,3,2,102.23,15,200044286,10
2019-09-01,04:44:00,6,71,48,17,5,1,101.62,15,200044286,10
2019-09-01,04:59:00,6,66,46,11,6,3,101.83,15,200044286,10
2019-09-01,05:14:00,6,64,51,10,2,1,100.04,15,200044286,10
2019-09-01,05:29:00,6,48,32,8,1,7,100.83,15,200044286,10
2019-09-01,05:44:00,6,52,44,5,2,1,112.40,15,200044286,10
2019-09-01,05:59:00,6,64,45,9,3,7,102.98,15,200044286,10
2019-09-01,06:14:00,6,60,40,12,3,5,102.53,15,200044286,10
2019-09-01,06:29:00,6,80,58,15,3,4,106.44,15,200044286,10
2019-09-01,06:44:00,6,113,84,17,7,5,105.22,15,200044286,10
2019-09-01,06:59:00,6,107,89,12,5,1,106.43,15,200044286,10
2019-09-01,07:14:00,6,112,72,28,7,5,104.44,15,200044286,10
2019-09-01,07:29:00,6,119,88,19,9,3,105.28,15,200044286,10
2019-09-01,07:44:00,6,120,95,17,6,2,107.07,15,200044286,10
2019-09-01,07:59:00,6,145,116,20,5,4,105.68,15,200044286,10
2019-09-01,08:14:00,6,137,115,17,3,2,104.62,15,200044286,10
2019-09-01,08:29:00,6,136,100,32,2,2,103.10,15,200044286,10
2019-09-01,08:44:00,6,159,123,32,4,0,105.64,15,200044286,10
2019-09-01,08:59:00,6,210,170,31,3,6,105.69,15,200044286,10
2019-09-01,09:14:00,6,261,204,44,7,6,102.99,15,200044286,10
2019-09-01,09:29:00,6,295,238,49,5,3,103.37,15,200044286,10
2019-09-01,09:44:00,6,398,346,37,8,7,104.00,15,200044286,10
2019-09-01,09:59:00,6,432,371,53,5,3,101.18,15,200044286,10
2019-09-01,10:14:00,6,490,440,40,6,4,101.12,15,200044286,10
2019-09-01,10:29:00,6,538,452,73,8,5,101.17,15,200044286,10
2019-09-01,10:44:00,6,595,513,71,7,4,101.59,15,200044286,10
2019-09-01,10:59:00,6,666,569,86,6,5,98.24,15,200044286,10
2019-09-01,11:14:00,6,651,564,78,6,3,98.80,15,200044286,10
2019-09-01,11:29:00,6,652,564,76,8,4,97.09,15,200044286,10
2019-09-01,11:44:00,6,605,538,52,12,3,99.11,15,200044286,10
2019-09-01,11:59:00,6,680,583,81,11,5,97.82,15,200044286,10
2019-09-01,12:14:00,6,664,588,68,3,5,96.70,15,200044286,10
2019-09-01,12:29:00,6,676,590,72,7,7,98.72,15,200044286,10
2019-09-01,12:44:00,6,670,600,61,7,2,97.34,15,200044286,10
2019-09-01,12:59:00,6,673,574,85,9,5,98.80,15,200044286,10
2019-09-01,13:14:00,6,580,492,74,7,7,100.68,15,200044286,10
2019-09-01,13:29:00,6,610,521,67,17,5,100.48,15,200044286,10
2019-09-01,13:44:00,6,644,564,65,5,10,100.18,15,200044286,10
2019-09-01,13:59:00,6,632,538,84,7,3,101.00,15,200044286,10
2019-09-01,14:14:00,6,562,477,74,6,5,98.68,15,200044286,10
2019-09-01,14:29:00,6,591,525,52,6,8,99.59,15,200044286,10
2019-09-01,14:44:00,6,545,452,76,9,8,100.64,15,200044286,10
2019-09-01,14:59:00,6,515,444,63,3,5,102.91,15,200044286,10
2019-09-01,15:14:00,6,555,463,75,8,9,101.49,15,200044286,10
2019-09-01,15:29:00,6,538,452,81,4,1,102.35,15,200044286,10
2019-09-01,15:44:00,6,547,463,69,9,6,103.43,15,200044286,10
2019-09-01,15:59:00,6,525,458,53,9,5,103.15,15,200044286,10
2019-09-01,16:14:00,6,529,451,64,9,5,103.09,15,200044286,10
2019-09-01,16:29:00,6,577,506,62,5,4,103.33,15,200044286,10
2019-09-01,16:44:00,6,530,457,60,7,6,104.64,15,200044286,10
2019-09-01,16:59:00,6,534,461,60,7,6,103.89,15,200044286,10
2019-09-01,17:14:00,6,506,441,54,3,8,103.52,15,200044286,10
2019-09-01,17:29:00,6,510,443,56,5,6,104.97,15,200044286,10
2019-09-01,17:44:00,6,556,465,72,14,5,102.37,15,200044286,10
2019-09-01,17:59:00,6,536,457,68,9,2,105.59,15,200044286,10
2019-09-01,18:14:00,6,540,480,45,10,5,104.85,15,200044286,10
2019-09-01,18:29:00,6,564,487,57,12,8,105.20,15,200044286,10
2019-09-01,18:44:00,6,518,433,68,7,10,103.97,15,200044286,10
2019-09-01,18:59:00,6,569,494,55,13,7,102.68,15,200044286,10
2019-09-01,19:14:00,6,476,409,55,8,4,104.04,15,200044286,10
2019-09-01,19:29:00,6,476,418,49,4,5,104.18,15,200044286,10
2019-09-01,19:44:00,6,438,370,58,5,5,105.59,15,200044286,10
2019-09-01,19:59:00,6,356,315,30,7,4,105.55,15,200044286,10
2019-09-01,20:14:00,6,398,345,38,7,8,105.23,15,200044286,10
2019-09-01,20:29:00,6,354,293,48,7,6,104.24,15,200044286,10
2019-09-01,20:44:00,6,357,309,38,6,4,101.68,15,200044286,10
2019-09-01,20:59:00,6,361,303,42,10,6,102.10,15,200044286,10
2019-09-01,21:14:00,6,302,261,34,2,5,103.29,15,200044286,10
2019-09-01,21:29:00,6,314,254,46,8,6,101.53,15,200044286,10
2019-09-01,21:44:00,6,265,215,38,6,6,101.64,15,200044286,10
2019-09-01,21:59:00,6,222,184,30,4,4,101.01,15,200044286,10
2019-09-01,22:14:00,6,204,169,25,5,5,103.71,15,200044286,10
2019-09-01,22:29:00,6,213,169,38,3,3,104.60,15,200044286,10
2019-09-01,22:44:00,6,158,132,21,2,3,104.44,15,200044286,10
2019-09-01,22:59:00,6,157,129,20,3,5,104.55,15,200044286,10
2019-09-01,23:14:00,6,156,127,21,6,2,105.57,15,200044286,10
2019-09-01,23:29:00,6,113,84,22,4,3,103.42,15,200044286,10
2019-09-01,23:44:00,6,112,79,18,3,12,101.64,15,200044286,10
2019-09-01,23:59:00,6,84,60,11,3,10,106.10,15,200044286,10
2019-09-02,00:14:00,6,86,66,10,3,7,102.84,15,200044286,10
2019-09-02,00:29:00,6,70,48,12,2,8,103.53,15,200044286,10
2019-09-02,00:44:00,6,63,46,11,3,3,99.99,15,200044286,10
