MIDAS ID, Legacy MIDAS ID, Site Name
452ACB1C0210454F9D0780DA73C6E79E,30028793,MIDAS site at M32/5060B priority 1 on link 200044286; GPS Ref: 362986;177624; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2018-01-01,00:14:00,14,55,49,3,2,1,101.51,15,200044286,7
2018-01-01,00:29:00,14,66,52,8,5,1,99.44,15,200044286,7
2018-01-01,00:44:00,14,96,82,9,4,1,95.71,15,200044286,7
2018-01-01,00:59:00,14,104,94,8,1,1,99.86,15,200044286,7
2018-01-01,01:14:00,14,115,95,19,1,0,101.35,15,200044286,7
2018-01-01,01:29:00,14,97,82,11,4,0,102.77,15,200044286,7
2018-01-01,01:44:00,14,116,95,16,2,3,98.39,15,200044286,7
2018-01-01,01:59:00,14,106,85,19,0,2,98.24,15,200044286,7
2018-01-01,02:14:00,14,89,77,10,1,1,100.05,15,200044286,7
2018-01-01,02:29:00,14,106,93,11,0,2,98.78,15,200044286,7
2018-01-01,02:44:00,14,79,72,5,2,0,99.04,15,200044286,7
2018-01-01,02:59:00,14,85,69,12,2,2,100.47,15,200044286,7
2018-01-01,03:14:00,14,89,73,13,2,1,98.32,15,200044286,7
2018-01-01,03:29:00,14,83,64,16,1,2,97.60,15,200044286,7
2018-01-01,03:44:00,14,68,54,12,1,1,100.30,15,200044286,7
2018-01-01,03:59:00,14,90,78,10,0,2,100.56,15,200044286,7
2018-01-01,04:14:00,14,83,67,12,3,1,99.79,15,200044286,7
2018-01-01,04:29:00,14,67,54,8,1,4,99.86,15,200044286,7
2018-01-01,04:44:00,14,74,64,8,1,1,101.12,15,200044286,7
2018-01-01,04:59:00,14,55,42,11,1,1,97.45,15,200044286,7
2018-01-01,05:14:00,14,60,52,7,0,1,104.15,15,200044286,7
