MIDAS ID, Legacy MIDAS ID, Site Name
452ACB1C0210454F9D0780DA73C6E79E,30028793,MIDAS site at M32/5060B priority 1 on link 200044286; GPS Ref: 362986;177624; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2020-12-01,00:14:00,1,52,29,6,1,16,98.78,15,200044286,13
2020-12-01,00:29:00,1,39,19,7,11,2,99.22,15,200044286,13
2020-12-01,00:44:00,1,24,13,4,0,7,96.22,15,200044286,13
2020-12-01,00:59:00,1,33,13,5,3,12,91.49,15,200044286,13
2020-12-01,01:14:00,1,23,8,5,8,2,96.21,15,200044286,13
2020-12-01,01:29:00,1,24,16,4,0,4,98.38,15,200044286,13
2020-12-01,01:44:00,1,30,12,3,9,6,96.13,15,200044286,13
2020-12-01,01:59:00,1,17,9,4,4,0,103.82,15,200044286,13
2020-12-01,02:14:00,1,23,15,4,4,0,91.54,15,200044286,13
2020-12-01,02:29:00,1,24,12,6,2,4,101.02,15,200044286,13
2020-12-01,02:44:00,1,21,11,3,4,3,95.98,15,200044286,13
2020-12-01,02:59:00,1,40,19,6,6,9,99.26,15,200044286,13
2020-12-01,03:14:00,1,12,7,0,2,3,93.75,15,200044286,13
2020-12-01,03:29:00,1,19,10,1,5,3,98.55,15,200044286,13
2020-12-01,03:44:00,1,29,13,5,5,6,99.97,15,200044286,13
2020-12-01,03:59:00,1,37,24,5,4,4,103.61,15,200044286,13
2020-12-01,04:14:00,1,33,17,4,6,6,93.75,15,200044286,13
2020-12-01,04:29:00,1,43,25,3,9,6,97.41,15,200044286,13
2020-12-01,04:44:00,1,44,21,6,7,10,96.15,15,200044286,13
2020-12-01,04:59:00,1,73,38,15,7,13,99.22,15,200044286,13
2020-12-01,05:14:00,1,67,34,8,13,12,96.22,15,200044286,13
2020-12-01,05:29:00,1,85,48,14,12,11,98.98,15,200044286,13
2020-12-01,05:44:00,1,110,78,18,9,5,102.26,15,200044286,13
2020-12-01,05:59:00,1,166,110,23,9,24,101.90,15,200044286,13
2020-12-01,06:14:00,1,206,140,31,21,14,101.96,15,200044286,13
2020-12-01,06:29:00,1,304,213,64,19,8,104.60,15,200044286,13
2020-12-01,06:44:00,1,454,319,85,23,27,99.18,15,200044286,13
2020-12-01,06:59:00,1,591,405,124,41,21,97.41,15,200044286,13
2020-12-01,07:14:00,1,663,433,175,41,14,95.88,15,200044286,13
2020-12-01,07:29:00,1,758,512,166,60,20,92.84,15,200044286,13
2020-12-01,07:44:00,1,807,520,206,52,29,91.67,15,200044286,13
2020-12-01,07:59:00,1,870,558,218,73,21,90.23,15,200044286,13
2020-12-01,08:14:00,1,780,546,151,57,26,93.46,15,200044286,13
2020-12-01,08:29:00,1,663,460,131,52,20,96.26,15,200044286,13
2020-12-01,08:44:00,1,597,400,131,54,12,98.19,15,200044286,13
2020-12-01,08:59:00,1,570,386,101,60,23,100.47,15,200044286,13
2020-12-01,09:14:00,1,529,321,130,58,20,99.45,15,200044286,13
2020-12-01,09:29:00,1,528,330,123,57,18,97.86,15,200044286,13
2020-12-01,09:44:00,1,517,327,97,68,25,98.40,15,200044286,13
2020-12-01,09:59:00,1,418,261,81,56,20,98.35,15,200044286,13
2020-12-01,10:14:00,1,377,221,83,53,20,98.05,15,200044286,13
2020-12-01,10:29:00,1,387,238,72,56,21,98.59,15,200044286,13
2020-12-01,10:44:00,1,458,297,93,55,13,97.91,15,200044286,13
2020-12-01,10:59:00,1,423,239,85,76,23,98.87,15,200044286,13
2020-12-01,11:14:00,1,395,230,84,61,20,98.66,15,200044286,13
2020-12-01,11:29:00,1,374,243,66,44,21,100.07,15,200044286,13
2020-12-01,11:44:00,1,401,242,89,47,23,98.94,15,200044286,13
2020-12-01,11:59:00,1,413,255,74,59,25,98.82,15,200044286,13
2020-12-01,12:14:00,1,369,243,72,39,15,99.05,15,200044286,13
2020-12-01,12:29:00,1,420,245,96,59,20,98.67,15,200044286,13
2020-12-01,12:44:00,1,442,276,83,61,22,98.91,15,200044286,13
2020-12-01,12:59:00,1,394,248,91,38,17,100.80,15,200044286,13
2020-12-01,13:14:00,1,388,239,73,54,22,99.40,15,200044286,13
2020-12-01,13:29:00,1,413,262,77,61,13,100.22,15,200044286,13
2020-12-01,13:44:00,1,454,297,80,62,15,97.43,15,200044286,13
2020-12-01,13:59:00,1,476,298,92,65,21,98.69,15,200044286,13
2020-12-01,14:14:00,1,448,290,93,47,18,99.88,15,200044286,13
2020-12-01,14:29:00,1,437,287,80,46,24,98.50,15,200044286,13
2020-12-01,14:44:00,1,453,295,94,50,14,93.56,15,200044286,13
2020-12-01,14:59:00,1,484,307,88,67,22,95.08,15,200044286,13
2020-12-01,15:14:00,1,488,313,113,51,11,99.31,15,200044286,13
2020-12-01,15:29:00,1,485,317,95,55,18,99.64,15,200044286,13
2020-12-01,15:44:00,1,484,321,104,48,11,101.70,15,200044286,13
2020-12-01,15:59:00,1,554,385,112,44,13,94.50,15,200044286,13
2020-12-01,16:14:00,1,571,393,126,34,18,98.21,15,200044286,13
2020-12-01,16:29:00,1,607,432,119,47,9,97.67,15,200044286,13
2020-12-01,16:44:00,1,613,427,130,44,12,97.72,15,200044286,13
2020-12-01,16:59:00,1,603,446,117,31,9,96.67,15,200044286,13
2020-12-01,17:14:00,1,542,418,92,23,9,98.85,15,200044286,13
2020-12-01,17:29:00,1,614,493,84,25,12,98.67,15,200044286,13
2020-12-01,17:44:00,1,531,423,80,22,6,99.83,15,200044286,13
2020-12-01,17:59:00,1,547,428,93,19,7,99.12,15,200044286,13
2020-12-01,18:14:00,1,481,377,78,17,9,98.72,15,200044286,13
2020-12-01,18:29:00,1,430,336,67,19,8,103.50,15,200044286,13
2020-12-01,18:44:00,1,394,308,63,20,3,101.30,15,200044286,13
2020-12-01,18:59:00,1,353,275,54,15,9,104.37,15,200044286,13
2020-12-01,19:14:00,1,301,229,54,10,8,103.64,15,200044286,13
2020-12-01,19:29:00,1,249,185,39,15,10,103.61,15,200044286,13
2020-12-01,19:44:00,1,251,197,32,11,11,103.63,15,200044286,13
2020-12-01,19:59:00,1,213,156,44,11,2,103.52,15,200044286,13
2020-12-01,20:14:00,1,211,160,36,8,7,105.95,15,200044286,13
2020-12-01,20:29:00,1,155,120,22,7,6,104.68,15,200044286,13
