MIDAS ID, Legacy MIDAS ID, Site Name
452ACB1C0210454F9D0780DA73C6E79E,30028793,MIDAS site at M32/5060B priority 1 on link 200044286; GPS Ref: 362986;177624; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2019-12-01,00:14:00,6,167,134,25,4,4,100.70,15,200044286,11
2019-12-01,00:29:00,6,150,117,26,4,3,99.45,15,200044286,11
2019-12-01,00:44:00,6,123,96,20,3,4,100.73,15,200044286,11
2019-12-01,00:59:00,6,140,115,16,6,3,101.17,15,200044286,11
2019-12-01,01:14:00,6,128,98,24,4,2,100.06,15,200044286,11
2019-12-01,01:29:00,6,93,70,10,8,5,99.53,15,200044286,11
2019-12-01,01:44:00,6,97,78,15,2,2,100.24,15,200044286,11
2019-12-01,01:59:00,6,82,65,11,3,3,100.98,15,200044286,11
2019-12-01,02:14:00,6,82,62,10,4,6,99.39,15,200044286,11
2019-12-01,02:29:00,6,88,67,19,2,0,100.24,15,200044286,11
2019-12-01,02:44:00,6,82,68,8,2,4,103.75,15,200044286,11
2019-12-01,02:59:00,6,81,58,19,3,1,104.31,15,200044286,11
2019-12-01,03:14:00,6,82,64,13,3,2,99.01,15,200044286,11
2019-12-01,03:29:00,6,61,48,4,2,7,99.32,15,200044286,11
2019-12-01,03:44:00,6,71,52,15,0,4,102.69,15,200044286,11
2019-12-01,03:59:00,6,67,43,20,4,0,100.58,15,200044286,11
2019-12-01,04:14:00,6,89,65,16,4,4,100.14,15,200044286,11
2019-12-01,04:29:00,6,82,57,20,5,0,101.24,15,200044286,11
2019-12-01,04:44:00,6,72,50,15,3,4,100.55,15,200044286,11
2019-12-01,04:59:00,6,67,49,13,2,3,97.49,15,200044286,11
2019-12-01,05:14:00,6,71,55,9,3,4,102.20,15,200044286,11
2019-12-01,05:29:00,6,73,56,8,2,7,99.67,15,200044286,11
2019-12-01,05:44:00,6,89,67,16,4,2,102.76,15,200044286,11
2019-12-01,05:59:00,6,82,59,12,4,7,100.86,15,200044286,11
2019-12-01,06:14:00,6,79,62,9,2,6,106.36,15,200044286,11
2019-12-01,06:29:00,6,98,80,16,2,0,102.50,15,200044286,11
2019-12-01,06:44:00,6,106,89,12,3,2,101.27,15,200044286,11
2019-12-01,06:59:00,6,149,109,24,7,9,99.64,15,200044286,11
2019-12-01,07:14:00,6,122,95,8,14,5,101.23,15,200044286,11
2019-12-01,07:29:00,6,100,74,19,3,4,102.78,15,200044286,11
2019-12-01,07:44:00,6,119,84,22,12,1,103.82,15,200044286,11
2019-12-01,07:59:00,6,128,88,30,8,2,104.81,15,200044286,11
2019-12-01,08:14:00,6,153,114,28,7,4,104.36,15,200044286,11
2019-12-01,08:29:00,6,163,132,25,4,2,106.58,15,200044286,11
2019-12-01,08:44:00,6,188,150,30,6,2,106.35,15,200044286,11
2019-12-01,08:59:00,6,237,182,43,7,5,105.13,15,200044286,11
2019-12-01,09:14:00,6,279,228,38,4,9,104.07,15,200044286,11
2019-12-01,09:29:00,6,363,304,44,11,4,103.45,15,200044286,11
2019-12-01,09:44:00,6,473,393,69,7,4,103.20,15,200044286,11
2019-12-01,09:59:00,6,579,490,64,16,9,100.06,15,200044286,11
2019-12-01,10:14:00,6,606,516,70,16,4,100.40,15,200044286,11
2019-12-01,10:29:00,6,671,564,81,14,12,99.70,15,200044286,11
2019-12-01,10:44:00,6,711,627,73,4,7,99.49,15,200044286,11
2019-12-01,10:59:00,6,701,598,87,10,6,99.36,15,200044286,11
2019-12-01,11:14:00,6,615,542,59,7,7,100.83,15,200044286,11
2019-12-01,11:29:00,6,686,589,82,6,9,99.91,15,200044286,11
2019-12-01,11:44:00,6,684,586,78,13,7,99.75,15,200044286,11
2019-12-01,11:59:00,6,670,569,80,13,8,99.54,15,200044286,11
2019-12-01,12:14:00,6,705,588,98,11,8,97.31,15,200044286,11
2019-12-01,12:29:00,6,696,574,102,12,8,97.85,15,200044286,11
2019-12-01,12:44:00,6,743,648,73,16,6,95.29,15,200044286,11
2019-12-01,12:59:00,6,713,617,86,8,2,95.88,15,200044286,11
2019-12-01,13:14:00,6,693,588,96,7,2,96.39,15,200044286,11
2019-12-01,13:29:00,6,661,568,83,3,7,96.99,15,200044286,11
2019-12-01,13:44:00,6,680,599,72,3,6,95.71,15,200044286,11
2019-12-01,13:59:00,6,664,562,91,8,3,95.48,15,200044286,11
2019-12-01,14:14:00,6,615,537,65,7,6,96.54,15,200044286,11
2019-12-01,14:29:00,6,602,524,63,10,5,97.14,15,200044286,11
2019-12-01,14:44:00,6,562,486,63,10,3,97.30,15,200044286,11
2019-12-01,14:59:00,6,576,497,63,11,5,94.53,15,200044286,11
2019-12-01,15:14:00,6,546,462,70,8,6,93.29,15,200044286,11
2019-12-01,15:29:00,6,590,516,59,8,7,90.58,15,200044286,11
2019-12-01,15:44:00,6,561,466,77,9,9,98.63,15,200044286,11
2019-12-01,15:59:00,6,545,459,77,6,3,100.08,15,200044286,11
2019-12-01,16:14:00,6,532,461,60,6,5,97.97,15,200044286,11
2019-12-01,16:29:00,6,558,484,63,6,5,93.89,15,200044286,11
2019-12-01,16:44:00,6,588,515,57,6,10,90.15,15,200044286,11
2019-12-01,16:59:00,6,613,544,55,11,3,90.68,15,200044286,11
2019-12-01,17:14:00,6,593,521,58,7,7,91.92,15,200044286,11
2019-12-01,17:29:00,6,574,491,66,13,4,91.73,15,200044286,11
2019-12-01,17:44:00,6,588,519,58,8,3,92.97,15,200044286,11
2019-12-01,17:59:00,6,546,476,58,5,7,94.10,15,200044286,11
